"","Plot","DATE","minHrlyTemp","maxHrlyTemp","minHrlyRH","maxHrlyRH"
"385",1308,"2013-11-04",41.043,69.942,19.238,81.347
"386",1308,"2013-11-05",45.669,75.204,23.345,69.107
"387",1308,"2013-11-06",44.082,74.77,31.137,78.574
"388",1308,"2013-11-07",NA,NA,NA,NA
"389",1308,"2013-11-08",7.066,23.545,29.971,97.645
"390",1308,"2013-11-09",3.67,23.208,35.11,93.129
"391",1308,"2013-11-10",5.411,19.27,55.173,98.461
"392",1308,"2013-11-11",5.437,18.747,53.864,99.947
"393",1308,"2013-11-12",10.907,22.585,31.572,81.304
"394",1308,"2013-11-13",6.611,25.768,36.451,95.221
"395",1308,"2013-11-14",5.796,19.341,51.943,98.964
"396",1308,"2013-11-15",5.924,19.698,30.38,82.662
"397",1308,"2013-11-16",5.076,18.414,44.99,89.041
"398",1308,"2013-11-17",2.903,16.296,61.231,100
"399",1308,"2013-11-18",2.664,14.385,63.53,100
"400",1308,"2013-11-19",9.262,12.389,95.606,100
"401",1308,"2013-11-20",10.565,14.864,100,100
"402",1308,"2013-11-21",9.015,15.796,16.328,100
"403",1308,"2013-11-22",12.437,22.106,5.795,20.366
"404",1308,"2013-11-23",4.844,19.46,11.941,58.484
"405",1308,"2013-11-24",-0.283,17.629,36.809,89.854
"406",1308,"2013-11-25",1.18,17.249,43.326,100
"407",1308,"2013-11-26",2.182,17.106,47.886,99.515
"408",1308,"2013-11-27",2.637,19.603,36.119,96.475
"409",1308,"2013-11-28",4.688,21.008,36.855,93.413
"410",1308,"2013-11-29",3.485,19.912,41.969,96.669
"411",1308,"2013-11-30",4.636,20.388,38.23,96.682
"412",1308,"2013-12-01",5.334,21.318,43.499,94.743
"413",1308,"2013-12-02",6.281,17.605,54.54,99.582
"414",1308,"2013-12-03",2.557,13.257,33.658,94.072
"415",1308,"2013-12-04",-1.613,11.005,31.895,91.927
"416",1308,"2013-12-05",-4.834,9.361,30.613,86.372
"417",1308,"2013-12-06",-5.948,8.02,46.238,99.929
"418",1308,"2013-12-07",-3.035,6.687,45.46,100
"419",1308,"2013-12-08",-4.408,7.67,38.676,94.693
"420",1308,"2013-12-09",-3.538,10.369,36.173,84.587
"421",1308,"2013-12-10",-5.449,12.389,34.097,90.16
"422",1308,"2013-12-11",-2.625,14.673,37.574,92.187
"423",1308,"2013-12-12",-2.392,14.505,34.814,96.215
